File name	Line	Function	Duration[ms]	Explored nodes
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\HotelController.cs	20	_Presentacion.Controllers.HotelController.Post$Presentacion.Models.HotelInputModel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\HotelController.cs	34	_Presentacion.Controllers.HotelController.MapearHotel$Presentacion.Models.HotelInputModel$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\HotelController.cs	57	_Presentacion.Controllers.HotelController.Get$string$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\HotelController.cs	65	_Presentacion.Controllers.HotelController.Put$string.Entity.Hotel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Service\JwtService.cs	16	_Presentacion.Service.JwtService.GenerarToken$Entity.User$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\LoginController.cs	42	_Presentacion.Controllers.LoginController.Login$Presentacion.Models.Loguin.LoginInputModel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\MovilidadAcademicaController.cs	40	_Presentacion.Controllers.MovilidadAcademicaController.MapearUsuario$Presentacion.Models.SMovilidadAcademica.MovilidadAcademicaInputModel$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\MovilidadAcademicaController.cs	72	_Presentacion.Controllers.MovilidadAcademicaController.Get$string$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\MovilidadAcademicaController.cs	80	_Presentacion.Controllers.MovilidadAcademicaController.Put$string.Entity.MovilidadAcademica$	0	6
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\ObtenerSumaController.cs	14	_Presentacion.Controllers.ObtenerSumaController.GetCantidad$string$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Program.cs	13	_Presentacion.Program.Main$string$$$	0	3
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\RestauranteController.cs	24	_Presentacion.Controllers.RestauranteController.Post$Presentacion.Models.RestauranteModels.RestauranteInputModel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\RestauranteController.cs	40	_Presentacion.Controllers.RestauranteController.MapearRestaurante$Presentacion.Models.RestauranteModels.RestauranteInputModel$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\RestauranteController.cs	64	_Presentacion.Controllers.RestauranteController.Get$string$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\RestauranteController.cs	73	_Presentacion.Controllers.RestauranteController.Put$string.Entity.Restaurante$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\ServicioController.cs	45	_Presentacion.Controllers.ServicioController.MapearUsuario$Presentacion.Models.Servicio.ServicioInputModel$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\ServicioController.cs	72	_Presentacion.Controllers.ServicioController.Get$string$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\ServicioController.cs	80	_Presentacion.Controllers.ServicioController.Put$string.Entity.Servicio$	0	6
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\TransporteController.cs	26	_Presentacion.Controllers.TransporteController.Post$Presentacion.Models.TransporteModels.TrasnporteInputModel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\TransporteController.cs	42	_Presentacion.Controllers.TransporteController.MapearTransporte$Presentacion.Models.TransporteModels.TrasnporteInputModel$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\TransporteController.cs	67	_Presentacion.Controllers.TransporteController.Get$string$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\TransporteController.cs	76	_Presentacion.Controllers.TransporteController.Put$string.Entity.Transporte$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\UsuarioController.cs	21	_Presentacion.Controllers.UsuarioController.Post$Presentacion.Models.Loguin.LoginInputModel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\UsuarioController.cs	35	_Presentacion.Controllers.UsuarioController.MapearUsuario$Presentacion.Models.Loguin.LoginInputModel$	0	2
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\UsuarioController.cs	54	_Presentacion.Controllers.UsuarioController.Get$string.string$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\UsuarioController.cs	68	_Presentacion.Controllers.UsuarioController.Put$string.Entity.User$	0	6
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\UtilidadController.cs	23	_Presentacion.Controllers.UtilidadController.Post$Presentacion.Models.UtilidadModels.UtilidadInputModel$	0	4
F:\Documento\GitHub\Proyecto-LDS\Presentacion\Controllers\UtilidadController.cs	37	_Presentacion.Controllers.UtilidadController.MapearUtilidad$Presentacion.Models.UtilidadModels.UtilidadInputModel$	0	2
